set,verb,noun,type,item,correct_ajt_response,verb_lit,noun_lit,vbg,noun_pl,verb_past,det_noun,fold,noun_freq,verb_freq,collocation_freq,noun_concreteness,verb_concreteness,noun_synset_len,verb_synset_len,logDice,avg_v_sim_to_item,avg_v_sim_to_item_10nouns,avg_v_sim_to_item_50nouns,noun_conc_sd,percent_known,snd3,snd10,snd25,snd50
46,abandon,project,collocation,abandon project,y,0,1,abandoning,projects,abandoned,a project,1,22844303,1749125,18018,3.62,2.54,12,5,6.46,0.9124183654785156,0.8056573271751404,0.7878472208976746,1.42,1.0,170.17,284.97,344.87,374.52
46,abandon,building,productive,abandon building,y,1,1,abandoning,buildings,abandoned,a building,2,11668495,1749125,15935,4.64,2.54,10,5,7.17,0.9156718850135804,0.8341591358184814,0.8069016933441162,0.91,1.0,193.2,298.76,338.74,361.38
2,battle,disease,collocation,battle disease,y,0,1,battling,diseases,battled,a disease,3,7034079,712036,4809,3.45,4.0,0,1,6.46,0.8909168243408203,0.8181159496307373,0.7949886322021484,1.33,1.0,102.9,195.33,244.79,273.82
2,battle,enemy,productive,battle enemy,y,1,1,battling,enemies,battled,an enemy,4,3712956,712036,3316,2.83,4.0,0,1,6.38,0.8881509304046631,0.7179211378097534,0.7938255667686462,1.36,1.0,148.22,227.71,259.5,276.9
3,beat,odds,collocation,beat odds,y,0,1,beating,odds,beat,an odds,5,2376,3571105,12574,2.24,3.97,0,23,7.7,0.8787700533866882,0.7622771859169006,0.7152610421180725,1.46,1.0,135.59,194.58,215.04,223.92
3,beat,egg,productive,beat egg,y,1,1,beating,eggs,beat,an egg,6,2460139,3571105,12025,4.97,3.97,2,23,7.28,0.8816090822219849,0.7521581649780273,0.7466472387313843,0.18,1.0,124.85,178.59,202.35,217.95
4,bend,rule,collocation,bend rule,y,0,1,bending,rules,bent,a rule,7,9645756,969091,14612,2.57,3.88,7,6,7.08,0.8905107378959656,0.7325798869132996,0.7090437412261963,1.37,1.0,177.48,280.06,326.59,358.7
4,bend,leg,productive,bend leg,y,1,1,bending,legs,bent,a leg,8,3573038,969091,7787,4.83,3.88,0,6,7.5,0.8880210518836975,0.8572521209716797,0.8232344388961792,0.59,1.0,134.48,212.33,256.38,294.07
6,break,silence,collocation,break silence,y,0,1,breaking,silence,broke,a silence,9,1165808,9717891,53167,3.33,3.71,2,59,8.54,0.873587965965271,0.7690776586532593,0.7648242115974426,1.64,1.0,107.25,151.56,168.73,179.07
6,break,bone,productive,break bone,y,1,1,breaking,bones,broke,a bone,10,2128140,9717891,66577,4.9,3.71,2,59,8.8,0.8775160908699036,0.7864534854888916,0.7891836762428284,0.56,1.0,113.62,182.3,215.25,233.86
7,build,trust,collocation,build trust,y,0,1,building,trust,built,a trust,2,2454711,21016612,79084,2.04,3.71,6,10,7.64,0.8700950145721436,0.7170381546020508,0.7361066937446594,1.29,1.0,146.8,212.51,243.01,258.24
7,build,structure,productive,build structure,y,1,1,building,structures,built,a structure,3,7943640,21016612,85865,4.03,3.71,1,10,7.56,0.8638180494308472,0.8077172636985779,0.8191183805465698,1.43,1.0,243.93,343.97,379.8,400.18
8,capture,scene,collocation,capture scene,y,0,1,capturing,scenes,captured,a scene,4,6195108,3817308,10061,3.93,3.21,0,6,6.32,0.865367591381073,0.7812716364860535,0.7976471185684204,1.33,1.0,236.31,326.09,358.85,376.01
8,capture,soldier,productive,capture soldiers,y,1,1,capturing,soldiers,captured,a soldiers,5,3180917,3817308,10187,4.72,3.21,1,6,6.65,0.880311131477356,0.6328678131103516,0.6779789924621582,0.59,1.0,146.17,236.65,278.07,301.43
9,carry,risk,collocation,carry risk,y,0,1,carrying,risks,carried,a risk,6,10515044,9766943,44571,1.63,4.04,2,40,7.45,0.8803097605705261,0.7430782914161682,0.7428359389305115,0.81,1.0,160.87,238.64,275.56,297.22
9,carry,load,productive,carry load,y,1,1,carrying,loads,carried,a load,7,2793614,9766943,45814,3.63,4.04,5,40,8.16,0.883627712726593,0.8363696932792664,0.7863651514053345,1.1,1.0,139.13,209.14,235.35,251.18
10,cast,doubt,collocation,cast doubt,y,0,1,casting,doubts,cast,a doubt,8,2812572,1997863,56812,1.79,3.92,2,11,9.61,0.8843212723731995,0.793293833732605,0.7554011344909668,1.18,1.0,158.05,239.27,270.23,288.3
10,cast,line,productive,cast line,y,1,1,casting,lines,cast,a line,9,20154252,1997863,7730,4.5,3.92,6,11,5.33,0.8877761960029602,0.7258440852165222,0.7494382262229919,0.71,1.0,253.42,357.41,397.32,421.22
11,catch,attention,collocation,catch attention,y,0,1,catching,attention,caught,an attention,10,6698702,5954596,133801,2.3,4.11,0,29,9.32,0.853371798992157,0.7686499357223511,0.7002034187316895,1.32,1.0,133.07,191.66,213.39,223.75
11,catch,fish,productive,catch fish,y,1,1,catching,fish,caught,a fish,1,3894395,5954596,111494,5.0,4.11,2,29,9.94,0.8571663498878479,0.7755813002586365,0.8009636998176575,0.0,1.0,164.99,237.0,271.35,292.14
13,chase,dream,collocation,chase dream,y,0,1,chasing,dreams,chased,a dream,3,4245679,894995,15269,2.6,3.48,2,4,8.24,0.875464141368866,0.7700077295303345,0.7402093410491943,1.52,1.0,147.1,213.55,239.31,254.22
13,chase,ball,productive,chase ball,y,1,1,chasing,balls,chased,a ball,4,4482569,894995,7917,5.0,3.48,1,4,6.8,0.8757753372192383,0.776038646697998,0.7639776468276978,0.0,1.0,152.85,224.94,253.8,268.96
116,close,deal,collocation,close deal,y,0,1,closing,deals,closed,a deal,5,7043343,7383940,36852,3.1,3.2,13,17,7.61,0.8590593934059143,0.7670530080795288,0.755940854549408,1.18,1.0,162.55,254.97,291.8,311.14
116,close,window,productive,close window,y,1,1,closing,windows,closed,a window,6,10283826,7383940,46496,4.86,3.2,0,17,8.25,0.8689205050468445,0.7886525392532349,0.7664080858230591,0.52,1.0,140.8,244.66,291.16,317.16
15,cover,expense,collocation,cover expense,y,0,1,covering,expenses,covered,an expense,7,2733104,11363685,58741,2.57,4.23,1,26,7.94,0.878426194190979,0.7929158210754395,0.765909731388092,1.43,1.0,166.21,247.22,277.52,295.84
15,cover,face,productive,cover face,y,1,1,covering,faces,covered,a face,8,8035034,11363685,55326,4.87,4.23,9,26,7.66,0.8653980493545532,0.7481709122657776,0.7516893744468689,0.43,1.0,234.58,343.73,395.03,428.46
16,crack,smile,collocation,crack smile,y,0,1,cracking,smiles,cracked,a smile,9,1710042,916202,7983,4.5,4.53,2,13,8.23,0.8915917873382568,0.7979604005813599,0.7727935314178467,0.75,1.0,103.53,159.95,184.24,198.92
16,crack,egg,productive,crack egg,y,1,1,cracking,eggs,cracked,an egg,10,2460139,916202,7478,4.97,4.53,2,13,7.7,0.8934949040412903,0.8169386386871338,0.7861923575401306,0.18,1.0,124.85,178.59,202.35,217.95
17,crash,wedding,collocation,crash wedding,y,0,1,crashing,weddings,crashed,a wedding,1,2522133,1027501,1110,3.92,3.79,2,13,6.16,0.9083120822906494,0.7063157558441162,0.7446111440658569,1.32,1.0,114.39,181.84,210.21,227.33
17,crash,spaceship,productive,crash spaceship,y,1,1,crashing,spaceships,crashed,a spaceship,2,143498,1027501,1083,4.48,3.79,0,13,7.23,0.9068278074264526,0.8243804574012756,0.8262226581573486,0.99,1.0,50.609,75.493,87.215,94.3
20,cut,tax,collocation,cut tax,y,0,1,cutting,taxes,cut,a tax,4,8744051,7287100,40766,3.89,4.55,4,41,8.0,0.8798827528953552,0.7990686297416687,0.7539523839950562,1.4,0.96,84.254,125.94,147.02,164.68
20,cut,hair,productive,cut hair,y,1,1,cutting,hair,cut,a hair,5,4761417,7287100,46643,4.97,4.55,0,41,8.31,0.8806146383285522,0.7401708364486694,0.7454630732536316,0.19,1.0,145.81,211.36,244.64,264.55
27,defuse,situation,collocation,defuse situation,y,0,1,defusing,situations,defused,a situation,6,8638546,57657,7349,2.03,2.54,0,1,6.6,0.8470402956008911,0.7575912475585938,0.7092667818069458,1.15,1.0,186.49,274.89,314.53,332.46
27,defuse,bomb,productive,defuse bomb,y,1,1,defusing,bombs,defused,a bomb,7,1458096,57657,5016,4.84,2.54,2,1,8.33,0.852888822555542,0.7727611660957336,0.7376673221588135,0.37,1.0,82.168,128.66,156.09,175.26
24,defy,gravity,collocation,defy gravity,y,0,1,defying,gravity,defied,a gravity,8,815453,360951,10447,2.86,1.86,0,3,9.72,0.8672782778739929,0.6803646683692932,0.6737760305404663,1.65,1.0,73.094,104.58,115.01,120.81
24,defy,law,productive,defy law,y,1,1,defying,laws,defied,a law,9,16673183,360951,12283,2.57,1.86,0,3,6.7,0.8557779788970947,0.6356614828109741,0.7016953825950623,1.6,1.0,136.56,216.4,271.88,309.43
25,dent,confidence,collocation,dent confidence,y,0,1,denting,confidence,dented,a confidence,10,2504218,59463,1228,2.17,4.63,0,1,5.39,0.8533724546432495,0.7225451469421387,0.7024413347244263,1.12,1.0,114.6,160.91,178.32,187.72
25,dent,can,productive,dent can,y,1,1,denting,cans,dented,a can,1,1216286,59463,925,4.55,4.63,2,1,6.77,0.8342548608779907,0.6817722320556641,0.6440657377243042,1.02,1.0,58.316,89.046,104.16,112.97
28,dissolve,marriage,collocation,dissolve marriage,y,0,1,dissolving,marriages,dissolved,a marriage,2,3576159,699350,6378,2.51,3.15,0,11,7.61,0.8447176218032837,0.6746536493301392,0.6404722332954407,1.2,1.0,196.35,296.41,331.1,348.3
28,dissolve,sugar,productive,dissolve sugar,y,1,1,dissolving,sugar,dissolved,a sugar,3,2049473,699350,7278,4.87,3.15,1,11,8.29,0.867173433303833,0.7461235523223877,0.7590250968933105,0.47,1.0,84.472,131.97,165.27,185.99
30,drain,account,collocation,drain account,y,0,1,draining,accounts,drained,an account,5,9225134,695772,2706,3.08,4.61,4,4,4.97,0.8790754079818726,0.6501373648643494,0.6997101306915283,1.52,1.0,210.91,294.5,321.83,335.52
30,drain,fluid,productive,drain fluid,y,1,1,draining,fluid,drained,fluid,6,905490,695772,5680,4.73,4.61,0,4,8.27,0.8866662979125977,0.8717834949493408,0.8192630410194397,0.64,1.0,107.21,168.71,197.48,212.55
31,drive,change,collocation,drive change,y,0,1,driving,change,drove,a change,7,19594343,9764826,58610,2.89,3.86,10,22,7.37,0.8719749450683594,0.6870288252830505,0.7463830709457397,1.57,1.0,169.83,260.43,300.98,324.77
31,drive,vehicle,productive,drive vehicle,y,1,1,driving,vehicles,drove,a vehicle,8,7692469,9764826,66778,4.64,3.86,0,22,8.3,0.8720148801803589,0.8520961403846741,0.7760428190231323,0.68,1.0,135.77,243.43,288.48,318.05
32,drop,hint,collocation,drop hint,y,0,1,dropping,hints,dropped,a hint,9,1019547,5347289,15554,2.33,4.21,1,23,7.79,0.8999435305595398,0.7711465954780579,0.7656593322753906,1.27,1.0,145.16,208.15,236.51,250.97
32,drop,anchor,productive,drop anchor,y,1,1,dropping,anchors,dropped,an anchor,10,582793,5347289,9980,4.77,4.21,2,23,7.3,0.905425786972046,0.7759339809417725,0.7741483449935913,0.77,1.0,96.973,139.06,152.3,158.34
35,enter,competition,collocation,enter competition,y,0,1,entering,competitions,entered,a competition,1,4711458,9091860,35716,3.86,3.12,0,9,7.4,0.8598493337631226,0.7081521153450012,0.7668107748031616,1.22,1.0,146.29,235.72,281.35,307.68
35,enter,house,productive,enter house,y,1,1,entering,houses,entered,a house,2,13353923,9091860,54063,5.0,3.12,2,9,7.62,0.8610780239105225,0.803527295589447,0.7553999423980713,0.0,1.0,207.43,310.94,359.63,394.2
36,erase,history,collocation,erase history,y,0,1,erasing,history,erased,a history,3,16223847,477303,5499,2.96,3.79,0,3,5.81,0.8502310514450073,0.7118090391159058,0.7249271869659424,1.37,0.96,244.12,342.42,382.02,402.74
36,erase,board,productive,erase board,y,1,1,erasing,boards,erased,a board,4,8495229,477303,3931,4.57,3.79,4,3,6.27,0.8740079402923584,0.7616411447525024,0.7291790246963501,1.0,0.97,187.08,278.44,317.8,338.2
37,face,fact,collocation,face fact,y,0,1,facing,facts,faced,a fact,6,17571895,8431829,24588,2.72,4.87,0,9,6.6,0.8434402942657471,0.6814162731170654,0.7135513424873352,1.56,1.0,254.34,365.67,419.85,450.64
37,face,window,productive,face window,y,1,1,facing,windows,faced,a window,7,10283826,8431829,8743,4.86,4.87,0,9,5.38,0.8498071432113647,0.5915623307228088,0.6424936652183533,0.52,1.0,140.8,244.66,291.16,317.16
39,fight,racism,collocation,fight racism,y,0,1,fighting,racism,fought,racism,8,909285,6014539,6201,2.36,4.2,0,4,6.43,0.8924975395202637,0.7620368003845215,0.8032567501068115,1.11,1.0,94.579,134.49,155.54,172.51
39,fight,army,productive,fight army,y,1,1,fighting,armies,fought,an army,9,3131690,6014539,6330,4.7,4.2,0,4,6.16,0.8852983117103577,0.8027095198631287,0.8047166466712952,0.6,1.0,127.38,213.56,259.99,294.17
40,float,idea,collocation,float idea,y,0,1,floating,ideas,floated,an idea,10,16844693,925406,14114,1.61,4.07,0,9,5.89,0.8392742872238159,0.6138325929641724,0.6226328015327454,1.2,1.0,186.11,292.47,339.77,365.76
40,float,log,productive,float log,y,1,1,floating,logs,floated,a log,1,1886169,925406,871,4.96,4.07,2,9,5.58,0.8503009676933289,0.7756903171539307,0.7928875088691711,0.19,1.0,107.86,149.58,163.52,170.97
41,flood,inbox,collocation,flood inbox,y,0,1,flooding,inboxes,flooded,an inbox,2,143283,641174,1404,4.1,4.62,0,4,6.93,0.8720428347587585,0.792980968952179,0.8112847805023193,1.08,0.97,33.769,47.055,52.52,55.362
41,flood,area,productive,flood area,y,1,1,flooding,areas,flooded,an area,3,29700238,641174,17316,3.72,4.62,0,4,6.27,0.9079304933547974,0.8130664825439453,0.7858333587646484,1.28,1.0,263.68,404.24,463.02,501.91
42,forge,signature,collocation,forge signature,y,0,1,forging,signatures,forged,a signature,4,1837179,601379,6865,4.43,4.04,0,7,8.02,0.8272389769554138,0.7397164702415466,0.7494200468063354,1.14,1.0,112.21,162.69,182.27,192.44
42,forge,steel,productive,forge steel,y,1,1,forging,steel,forged,steel,5,2544027,601379,4002,4.87,4.04,2,7,7.58,0.8494281768798828,0.6641845107078552,0.7158227562904358,0.35,1.0,98.555,155.27,193.79,217.4
44,frame,question,collocation,frame question,y,0,1,framing,questions,framed,a question,7,19948566,865094,10258,3.36,4.3,5,6,5.23,0.8741147518157959,0.6303533911705017,0.6934256553649902,1.7,1.0,211.73,299.72,335.13,354.36
44,frame,picture,productive,frame picture,y,1,1,framing,pictures,framed,a picture,8,8629347,865094,9230,4.52,4.3,2,6,6.21,0.8827300071716309,0.8346483707427979,0.7946509718894958,1.01,1.0,124.67,237.09,298.33,333.94
43,freeze,asset,collocation,freeze asset,y,0,1,freezing,assets,froze,an asset,9,3733300,994085,9599,2.92,3.96,0,10,7.72,0.8798521757125854,0.7750392556190491,0.7424827814102173,1.32,0.96,117.12,175.48,205.56,224.4
43,freeze,water,productive,freeze water,y,1,1,freezing,water,froze,a water,10,20605799,994085,5735,5.0,3.96,4,10,5.43,0.877822995185852,0.7648146152496338,0.7937900424003601,0.0,1.0,232.15,324.2,362.8,390.59
113,fuel,passion,collocation,fuel passion,y,0,1,fueling,passion,fueled,a passion,1,1995449,766702,4510,2.3,4.3,0,4,6.98,0.8728127479553223,0.7973036766052246,0.7855156064033508,1.32,1.0,119.78,201.4,232.88,253.47
113,fuel,car,productive,fuel car,y,1,1,fueling,cars,fueled,a car,2,15276916,766702,4448,4.89,4.3,0,4,5.0,0.8775127530097961,0.6909101009368896,0.702420711517334,0.31,1.0,146.58,271.86,328.14,362.93
82,gather,momentum,collocation,gather momentum,y,0,1,gathering,momentum,gathered,momentum,3,894104,3097459,16857,2.5,2.75,0,9,8.1,0.8969162106513977,0.7907397747039795,0.7776108980178833,1.58,1.0,79.992,112.44,123.59,129.88
82,gather,evidence,productive,gather evidence,y,1,1,gathering,evidence,gathered,evidence,4,8165223,3097459,40083,3.65,2.75,3,9,7.94,0.8984473347663879,0.8241269588470459,0.7605187892913818,1.29,1.0,161.8,250.91,291.33,310.6
45,harbor,resentment,collocation,harbor resentment,y,0,1,harboring,resentment,harbored,a resentment,5,211117,160458,2450,1.78,4.57,0,4,8.83,0.8769022822380066,0.8133846521377563,0.8087407350540161,1.01,1.0,65.466,105.55,126.74,139.17
45,harbor,terrorist,productive,harbor terrorist,y,1,1,harboring,terrorists,harbored,a terrorist,6,905648,160458,2297,3.64,4.57,0,4,7.66,0.8884516954421997,0.774359941482544,0.736185610294342,1.39,1.0,85.007,132.96,160.49,178.63
47,hold,breath,collocation,hold breath,y,0,1,holding,breath,held,a breath,8,1625015,21581829,113164,4.36,3.68,0,36,8.2,0.9120561480522156,0.7555716037750244,0.7350833415985107,0.95,1.0,72.307,105.92,123.28,131.92
47,hold,hand,productive,hold hand,y,1,1,holding,hands,held,a hand,9,17457175,21581829,168395,4.72,3.68,2,36,8.38,0.9044346809387208,0.7292757034301758,0.7145122289657593,1.03,1.0,269.2,382.64,427.86,454.46
48,hurl,abuse,collocation,hurl abuse,y,0,1,hurling,abuse,hurled,an abuse,10,2839126,190374,3968,2.71,4.1,4,3,7.7,0.8902084231376648,0.8218806982040405,0.751541256904602,1.27,1.0,95.851,150.62,181.18,201.53
48,hurl,stone,productive,hurl stone,y,1,1,hurling,stones,hurled,a stone,1,3085834,190374,4148,4.72,4.1,2,3,7.31,0.901274800300598,0.7501426935195923,0.7995637655258179,0.84,1.0,159.19,242.89,279.87,302.48
49,hurt,chance,collocation,hurt chance,y,0,1,hurting,chances,hurt,a chance,2,7416917,2493339,8456,1.64,3.61,3,7,5.81,0.8765943050384521,0.6972774267196655,0.7401571273803711,0.99,0.97,145.16,211.81,236.5,250.46
49,hurt,child,productive,hurt child,y,1,1,hurting,children,hurt,a child,3,28171039,2493339,11455,4.78,3.61,0,7,5.5,0.8727325201034546,0.7296319603919983,0.786397397518158,0.58,1.0,201.04,295.22,346.37,384.22
50,ignite,debate,collocation,ignite debate,y,0,1,igniting,debates,ignited,a debate,4,3029995,304710,2905,3.18,4.04,4,3,6.63,0.8665144443511963,0.7668267488479614,0.7332159876823425,1.36,1.0,184.93,291.91,338.79,365.58
50,ignite,flame,productive,ignite flame,y,1,1,igniting,flames,ignited,a flame,5,1068825,304710,2986,4.67,4.04,3,3,7.89,0.8531613349914551,0.8216733932495117,0.8202002048492432,0.68,1.0,93.561,139.75,160.47,173.35
51,inflate,ego,collocation,inflate ego,y,0,1,inflating,ego,inflated,an ego,6,562762,203083,2090,1.74,3.34,0,5,8.01,0.8318945169448853,0.6520910859107971,0.6666876673698425,1.1,1.0,71.854,105.1,119.65,127.07
51,inflate,balloon,productive,inflate balloon,y,1,1,inflating,balloons,inflated,a balloon,7,537829,203083,4946,4.92,3.34,2,5,9.37,0.8638684153556824,0.7835493087768555,0.7298752665519714,0.27,1.0,82.715,117.6,132.65,140.92
84,invade,privacy,collocation,invade privacy,y,0,1,invading,privacy,invaded,privacy,9,2098297,657552,9975,1.5,3.28,0,4,8.67,0.8676994442939758,0.6911304593086243,0.6712725162506104,0.58,1.0,60.69,97.554,110.21,116.38
84,invade,territory,productive,invade territory,y,1,1,invading,territories,invaded,a territory,10,2139738,657552,6334,3.41,3.28,0,4,7.73,0.8720251321792603,0.8220018148422241,0.8321731090545654,1.5,1.0,170.99,267.54,308.58,331.65
78,juggle,responsibility,collocation,juggle responsibility,y,0,1,juggling,responsibilities,juggled,a responsibility,1,4550003,157719,2651,1.4,4.04,0,5,5.39,0.8385189771652222,0.7564467787742615,0.7612234950065613,0.67,1.0,139.46,206.54,231.4,249.11
78,juggle,ball,productive,juggle ball,y,1,1,juggling,balls,juggled,a ball,2,4482569,157719,3627,5.0,4.04,1,5,5.87,0.8309358358383179,0.7288537621498108,0.6985999941825867,0.0,1.0,152.85,224.94,253.8,268.96
52,kick,habit,collocation,kick habit,y,0,1,kicking,habits,kicked,a habit,3,1675654,2194239,10490,2.76,4.33,1,8,8.1,0.8801524043083191,0.7603260278701782,0.7471559047698975,1.3,1.0,124.43,184.5,207.67,221.79
52,kick,door,productive,kick door,y,1,1,kicking,doors,kicked,a door,4,7684758,2194239,9371,4.81,4.33,0,8,6.68,0.8760226368904114,0.7235228419303894,0.764331579208374,0.65,1.0,145.33,240.25,284.65,309.98
53,kill,time,collocation,kill time,y,0,1,killing,time,killed,a time,5,98581710,9025472,30145,3.07,3.9,5,15,5.1,0.8607444167137146,0.6436646580696106,0.6620064377784729,1.46,1.0,273.83,408.51,469.17,512.74
53,kill,officer,productive,kill officer,y,1,1,killing,officers,killed,an officer,6,6527080,9025472,28098,4.8,3.9,1,15,7.23,0.8684486746788025,0.733635425567627,0.7719205617904663,0.48,1.0,200.25,288.09,326.95,352.01
54,land,contract,collocation,land contract,y,0,1,landing,contracts,landed,a contract,7,6047853,1677909,5574,4.15,4.57,9,7,6.35,0.8798589706420898,0.7432807087898254,0.7610298991203308,1.2,1.0,157.64,239.45,272.05,289.2
54,land,plane,productive,land plane,y,1,1,landing,planes,landed,a plane,8,2474097,1677909,6422,4.92,4.57,3,7,7.62,0.8837227821350098,0.7853842377662659,0.787338376045227,0.4,1.0,122.19,203.02,246.61,272.63
55,launch,campaign,collocation,launch campaign,y,0,1,launching,campaigns,launched,a campaign,10,6627944,5591621,143215,3.0,3.7,3,6,9.85,0.885593831539154,0.8364628553390503,0.8187466263771057,1.33,1.0,234.82,326.5,365.57,390.31
55,launch,satellite,productive,launch satellite,y,1,1,launching,satellites,launched,a satellite,1,1231322,5591621,23789,4.73,3.7,1,6,7.73,0.8856378793716431,0.7670897245407104,0.7588363289833069,0.83,1.0,85.82,137.67,159.56,170.31
56,launder,money,collocation,launder money,y,0,1,laundering,money,laundered,a money,2,14428599,57478,13271,4.54,3.18,0,2,6.0,0.8702749609947205,0.7463430166244507,0.7308186292648315,0.84,1.0,103.44,164.62,189.47,205.68
56,launder,clothes,productive,launder clothes,y,1,1,laundering,clothes,laundered,a clothes,3,1817059,57478,1033,4.76,3.18,3,2,5.62,0.8640956878662109,0.8381520509719849,0.7610626816749573,0.69,1.0,80.582,153.47,188.65,218.42
57,leak,image,collocation,leak image,y,0,1,leaking,images,leaked,an image,4,13811715,722116,7240,3.85,4.28,2,4,5.66,0.885651707649231,0.7308217287063599,0.762649416923523,1.13,1.0,179.93,316.21,370.25,403.89
57,leak,oil,productive,leak oil,y,1,1,leaking,oil,leaked,an oil,5,7845929,722116,7320,4.93,4.28,2,4,7.14,0.8832537531852722,0.8023436069488525,0.7798410058021545,0.26,1.0,116.09,174.9,208.49,229.11
58,level,charge,collocation,level charge,y,0,1,leveling,charges,levelled,a charge,6,5948877,500152,9233,2.96,2.86,25,6,7.29,0.8640432953834534,0.7710939645767212,0.7033023238182068,1.2,1.0,190.91,262.88,290.47,306.26
58,level,ground,productive,level ground,y,1,1,leveling,ground,levelled,a ground,7,8122361,500152,2181,4.77,2.86,19,6,5.34,0.8692104816436768,0.6238839626312256,0.698741614818573,0.57,1.0,207.06,291.84,324.49,350.64
59,lift,ban,collocation,lift ban,y,0,1,lifting,bans,lifted,a ban,8,1046891,2073228,32844,2.37,3.89,4,24,9.42,0.8753032684326172,0.7858439683914185,0.7476263046264648,1.5,1.0,108.72,169.3,203.52,222.15
