set,verb,noun,type,item,correct_ajt_response,verb_lit,noun_lit,vbg,noun_pl,verb_past,det_noun,fold,noun_freq,verb_freq,collocation_freq,noun_concreteness,verb_concreteness,noun_synset_len,verb_synset_len,logDice,avg_v_sim_to_item,avg_v_sim_to_item_10nouns,avg_v_sim_to_item_50nouns,noun_conc_sd,percent_known,snd3,snd10,snd25,snd50
59,lift,weight,productive,lift weight,y,1,1,lifting,weights,lifted,a weight,9,5452169,2073228,39322,3.94,3.89,2,24,8.77,0.8734545111656189,0.7787172794342041,0.781879186630249,1.21,1.0,136.57,203.08,229.71,245.41
60,lock,eye,collocation,lock eye,y,0,1,locking,eyes,locked,an eye,1,11537617,1987033,26037,4.9,4.65,1,9,7.51,0.8924200534820557,0.7784447073936462,0.7334693074226379,0.41,1.0,206.15,312.42,361.23,392.48
60,lock,gate,productive,lock gate,y,1,1,locking,gates,locked,a gate,2,1733823,1987033,11288,4.96,4.65,3,9,8.24,0.890289843082428,0.823194146156311,0.7822631597518921,0.19,1.0,143.81,229.28,265.02,282.2
61,muzzle,press,collocation,muzzle press,y,0,1,muzzling,press,muzzled,a press,3,3818747,27079,709,3.9,4.59,14,3,6.02,0.8353046178817749,0.733193039894104,0.7180547118186951,1.3,1.0,115.18,174.22,201.1,220.08
61,muzzle,dog,productive,muzzle dog,y,1,1,muzzling,dogs,muzzled,a dog,4,6162006,27079,673,4.85,4.59,1,3,3.7,0.842987060546875,0.7062008380889893,0.7174199819564819,0.46,1.0,104.88,197.0,248.38,285.38
62,navigate,challenge,collocation,navigate challenge,y,0,1,navigating,challenges,navigated,a challenge,5,7629844,1169782,12323,2.11,2.68,4,3,6.71,0.8813419938087463,0.7973881363868713,0.7561252117156982,1.31,1.0,158.7,224.89,250.88,263.63
62,navigate,water,productive,navigate water,y,1,1,navigating,waters,navigated,a water,6,20605799,1169782,12267,5.0,2.68,4,3,6.46,0.8746521472930908,0.7257578372955322,0.7702450752258301,0.0,1.0,232.15,324.2,362.8,390.59
63,nurse,grudge,collocation,nurse grudge,y,0,1,nursing,grudges,nursed,a grudge,7,97889,351981,1318,2.14,4.39,2,5,7.29,0.8559107780456543,0.7921748757362366,0.8035897016525269,1.21,1.0,37.542,64.04,72.485,76.267
63,nurse,infant,productive,nurse infant,y,1,1,nursing,infants,nursed,an infant,8,789328,351981,1225,4.93,4.39,0,5,6.61,0.9061657190322876,0.8357071876525879,0.8010104298591614,0.37,1.0,95.378,142.86,165.46,180.78
64,pad,resume,collocation,pad resume,y,0,1,padding,resumes,padded,a resume,9,740815,262157,1157,4.0,4.43,4,4,6.69,0.8614454865455627,0.6117598414421082,0.6488703489303589,1.13,1.0,27.161,37.773,42.021,44.429
64,pad,cushion,productive,pad cushion,y,1,1,padding,cushions,padded,a cushion,10,315658,262157,1230,4.68,4.43,1,4,7.49,0.8869560956954956,0.8403686285018921,0.8431054949760437,0.67,1.0,51.694,87.616,103.61,112.46
65,pay,visit,collocation,pay visit,y,0,1,paying,visits,paid,a visit,2,5229530,16546758,96351,3.92,3.54,8,11,8.45,0.8763958811759949,0.7880254983901978,0.7406721711158752,1.06,0.96,204.08,327.1,373.4,400.14
65,pay,debt,productive,pay debt,y,1,1,paying,debts,paid,a debt,3,3256694,16546758,84234,2.72,3.54,0,11,8.3,0.8826446533203125,0.7989386320114136,0.8225786685943604,1.36,1.0,95.713,138.45,158.61,175.87
66,pick,fight,collocation,pick fight,y,0,1,picking,fights,picked,a fight,4,3217485,7147284,25712,4.2,3.82,4,12,8.41,0.911954402923584,0.7645816206932068,0.7468552589416504,0.82,1.0,166.91,274.84,323.71,354.02
66,pick,winner,productive,pick winner,y,1,1,picking,winners,picked,a winner,5,3397201,7147284,25931,3.21,3.82,0,12,8.33,0.9094864726066588,0.7895780205726624,0.7670443654060364,1.45,1.0,161.86,268.28,315.83,341.99
67,pierce,darkness,collocation,pierce darkness,y,0,1,piercing,darkness,pierced,a darkness,6,1127851,287938,1797,3.85,3.73,0,5,7.64,0.88787841796875,0.749064028263092,0.7399787306785583,1.35,1.0,114.39,168.09,194.04,209.34
67,pierce,flesh,productive,pierce flesh,y,1,1,piercing,flesh,pierced,a flesh,7,915192,287938,1508,4.59,3.73,1,5,7.06,0.8868404626846313,0.8297027945518494,0.7923762202262878,0.95,1.0,117.07,169.48,189.27,199.45
119,pin,hope,collocation,pin hope,y,0,1,pinning,hopes,pinned,a hope,8,3735030,534949,12893,1.25,4.92,3,4,8.27,0.8769310116767883,0.7564990520477295,0.7149545550346375,0.59,1.0,166.95,241.91,272.45,287.77
119,pin,hair,productive,pin hair,y,1,1,pinning,hair,pinned,a hair,9,4761417,534949,1623,4.97,4.92,0,4,5.09,0.8847013115882874,0.7283909916877747,0.7646722197532654,0.19,1.0,145.81,211.36,244.64,264.55
69,plant,kiss,collocation,plant kiss,y,0,1,planting,kisses,planted,a kiss,10,494665,1475735,6897,4.48,4.76,2,6,7.78,0.8991352319717407,0.6641867756843567,0.6822612881660461,1.02,1.0,79.436,123.41,140.16,149.2
69,plant,seedling,productive,plant seedling,y,1,1,planting,seedlings,planted,a seedling,1,231666,1475735,7912,4.56,4.76,0,6,8.08,0.8757089376449585,0.8966313600540161,0.8895953297615051,0.89,0.93,51.742,78.571,92.66,100.31
70,polish,skill,collocation,polish skill,y,0,1,polishing,skills,polished,a skill,3,9202885,324657,4607,2.17,4.23,0,3,5.28,0.8960781097412109,0.6626906394958496,0.6876816153526306,1.29,1.0,158.2,237.46,270.14,289.39
70,polish,surface,productive,polish surface,y,1,1,polishing,surfaces,polished,a surface,4,5663061,324657,3211,4.26,4.23,3,3,6.5,0.8868252038955688,0.7519928812980652,0.755270779132843,1.13,1.0,249.55,357.56,402.19,427.02
71,push,agenda,collocation,push agenda,y,0,1,pushing,agendas,pushed,an agenda,5,1843727,5154873,28530,2.66,4.21,0,10,8.38,0.8830739259719849,0.7793194055557251,0.7718639373779297,1.32,1.0,133.95,192.96,217.15,230.81
71,push,door,productive,push door,y,1,1,pushing,door,pushed,a door,6,7684758,5154873,13073,4.81,4.21,0,10,6.53,0.8866146802902222,0.7902767658233643,0.7706804275512695,0.65,1.0,145.33,240.25,284.65,309.98
73,raise,fund,collocation,raise fund,y,0,1,raising,funds,raised,a fund,7,6047830,9080663,282320,3.18,3.8,6,27,10.08,0.8766259551048279,0.7986060380935669,0.7691227793693542,1.44,1.0,147.28,207.45,229.19,247.48
73,raise,hand,productive,raise hand,y,1,1,raising,hands,raised,a hand,8,17457175,9080663,134259,4.72,3.8,2,27,8.64,0.8636319637298584,0.7457174062728882,0.7283970713615417,1.03,1.0,269.2,382.64,427.86,454.46
74,read,mind,collocation,read mind,y,0,1,reading,minds,read,a mind,9,10347440,23554243,34479,2.5,3.56,6,11,6.73,0.8699756264686584,0.7006630897521973,0.7357000112533569,1.39,1.0,197.15,276.78,313.43,334.55
74,read,document,productive,read document,y,1,1,reading,documents,read,a document,10,7132224,23554243,34757,4.41,3.56,2,11,6.68,0.8738608360290527,0.7897509336471558,0.8306276202201843,1.21,1.0,158.9,245.28,277.4,295.0
72,reap,profit,collocation,reap profit,y,0,1,reaping,profits,reaped,a profit,1,2842395,298272,9891,3.07,3.14,2,2,8.08,0.8773362636566162,0.778610348701477,0.7509397268295288,1.3,1.0,59.81,135.58,177.33,201.82
72,reap,harvest,productive,reap harvest,y,1,1,reaping,harvests,reaped,a harvest,2,648988,298272,7559,4.0,3.14,2,2,9.56,0.8816680312156677,0.7636631727218628,0.7498505115509033,1.31,1.0,101.17,144.38,158.59,165.35
76,scrap,plan,collocation,scrap plan,y,0,1,scraping,plans,scraped,a plan,4,14248570,298777,8708,3.4,4.15,4,3,5.73,0.8737170696258545,0.7454511523246765,0.7140594124794006,1.4,1.0,144.41,259.22,311.43,339.79
76,scrap,car,productive,scrap car,y,1,1,scraping,cars,scraped,a car,5,15276916,298777,4251,4.89,4.15,0,3,5.05,0.8762050271034241,0.790846586227417,0.7462994456291199,0.31,1.0,146.58,271.86,328.14,362.93
77,scrape,living,collocation,scrape living,y,0,1,scraping,living,scraped,a living,6,2860808,305246,1286,3.04,4.15,7,6,5.89,0.8879820704460144,0.6160436868667603,0.6732217073440552,1.65,1.0,118.05,167.4,183.13,190.2
77,scrape,skin,productive,scrape skin,y,1,1,scraping,skin,scraped,a skin,7,5253806,305246,1675,4.79,4.15,4,6,5.42,0.8900514245033264,0.7891768217086792,0.8099398016929626,0.5,1.0,169.4,240.84,276.4,299.07
79,share,joy,collocation,share joy,y,0,1,sharing,joy,shared,a joy,8,1760765,10652822,17250,2.37,2.96,2,5,6.19,0.8877032995223999,0.7735215425491333,0.7720401883125305,1.52,1.0,107.12,161.36,189.58,205.58
79,share,food,productive,share food,y,1,1,sharing,food,shared,a food,9,14906417,10652822,17706,4.8,2.96,0,5,5.76,0.8951873779296875,0.6996167302131653,0.7475783228874207,0.82,1.0,169.07,241.2,280.07,303.04
80,shatter,myth,collocation,shatter myth,y,0,1,shattering,myths,shattered,a myth,10,1138412,347420,2665,2.17,3.96,0,3,7.42,0.892891526222229,0.8096747398376465,0.7458765506744385,1.36,1.0,129.8,193.08,219.75,234.87
80,shatter,glass,productive,shatter glass,y,1,1,shattering,glass,shattered,a glass,1,3962657,347420,5273,4.82,3.96,5,3,7.26,0.90969055891037,0.8471406698226929,0.7796173095703125,0.48,1.0,149.6,219.89,246.25,262.92
81,shift,blame,collocation,shift blame,y,0,1,shifting,blame,shifted,a blame,2,380197,2129956,11839,2.06,2.81,3,13,8.39,0.8775725364685059,0.7737758159637451,0.739406406879425,1.18,1.0,57.303,82.246,91.476,96.689
81,shift,position,productive,shift position,y,1,1,shifting,position,shifted,a position,3,12418360,2129956,13395,2.62,2.81,2,13,6.49,0.8668185472488403,0.7186082005500793,0.7700084447860718,1.57,1.0,229.38,325.34,362.4,380.34
85,slash,spending,collocation,slash spending,y,0,1,slashing,spending,slashed,a spending,5,1844459,303908,4420,3.31,3.52,3,5,8.1,0.8528334498405457,0.8034338355064392,0.7792484164237976,1.42,1.0,78.229,122.43,144.17,157.7
85,slash,throat,productive,slash throat,y,1,1,slashing,throats,slashed,a throat,6,905764,303908,2869,4.97,3.52,0,5,8.11,0.8398049473762512,0.7356380224227905,0.7039865255355835,0.19,1.0,78.256,118.6,144.46,163.8
86,smear,reputation,collocation,smear reputation,y,0,1,smearing,reputations,smeared,a reputation,7,1754448,142339,1085,1.64,3.66,0,4,5.37,0.834809422492981,0.5831451416015625,0.6468133926391602,1.1,1.0,181.29,254.1,285.24,303.63
86,smear,blood,productive,smear blood,y,1,1,smearing,blood,smeared,a blood,8,5590504,142339,2322,4.86,3.66,1,4,6.35,0.8638219237327576,0.7523881793022156,0.7118024230003357,0.44,1.0,132.86,194.1,218.83,232.67
87,smell,fear,collocation,smell fear,y,0,1,smelling,fear,smelled,a fear,9,3736346,865622,2087,2.57,3.7,5,5,5.75,0.8952858448028564,0.7033283114433289,0.7401078939437866,1.48,1.0,208.48,300.15,342.67,365.02
87,smell,perfume,productive,smell perfume,y,1,1,smelling,perfume,smelled,a perfume,10,310929,865622,2919,4.66,3.7,2,5,8.16,0.8875192999839783,0.8931037783622742,0.8518995046615601,0.81,1.0,55.569,89.838,104.75,115.12
88,soften,tone,collocation,soften tone,y,0,1,softening,tones,softened,a tone,1,2100073,316123,1969,3.07,2.57,5,7,6.33,0.8728591203689575,0.7723682522773743,0.7460118532180786,1.51,1.0,168.02,248.56,285.18,303.36
88,soften,skin,productive,soften skin,y,1,1,softening,skin,softened,a skin,2,5253806,316123,6229,4.79,2.57,4,7,7.29,0.8752766847610474,0.7743687033653259,0.7347486615180969,0.5,1.0,169.4,240.84,276.4,299.07
89,sow,confusion,collocation,sow confusion,y,0,1,sowing,confusion,sowed,a confusion,3,1176171,322743,3504,2.24,4.04,0,3,7.65,0.8368695378303528,0.7113779187202454,0.630864143371582,1.41,1.0,118.8,177.89,200.35,212.85
89,sow,crop,productive,sow crop,y,1,1,sowing,crops,sowed,a crop,4,2282446,322743,5292,4.24,4.04,6,3,7.86,0.827689528465271,0.7565594911575317,0.782122015953064,1.01,1.0,130.57,186.59,211.43,228.77
90,spark,panic,collocation,spark panic,y,0,1,sparking,panic,sparked,a panic,6,614874,623854,1203,3.04,4.25,2,2,6.08,0.891636848449707,0.7304010391235352,0.7966852188110352,1.6,1.0,68.935,102.98,116.38,124.13
90,spark,flame,productive,spark flame,y,1,1,sparking,flame,sparked,a flame,7,1068825,623854,1100,4.67,4.25,3,2,5.68,0.8935712575912476,0.7087956666946411,0.7740868926048279,0.68,1.0,93.561,139.75,160.47,173.35
91,spew,hate,collocation,spew hate,y,0,1,spewing,hate,spewed,a hate,8,693361,127425,2021,1.97,3.2,1,3,8.77,0.8613906502723694,0.7542157173156738,0.6987178325653076,1.35,1.0,60.282,84.845,95.871,102.6
91,spew,lava,productive,spew lava,y,1,1,spewing,lava,spewed,a lava,9,231033,127425,1017,4.82,3.2,0,3,8.65,0.8652674555778503,0.7576954960823059,0.7480445504188538,0.55,1.0,51.592,80.948,94.118,103.81
92,spill,secret,collocation,spill secret,y,0,1,spilling,secrets,spilled,a secret,10,1754391,433011,2935,2.19,4.07,0,6,6.64,0.8669190406799316,0.6541102528572083,0.6885644793510437,1.39,1.0,106.43,149.86,166.24,174.76
92,spill,tea,productive,spill tea,y,1,1,spilling,tea,spilled,a tea,1,2018234,433011,2698,4.69,4.07,0,6,7.25,0.8736591935157776,0.8265968561172485,0.7872493267059326,0.97,1.0,72.271,138.59,176.5,199.08
93,spin,tale,collocation,spin tale,y,0,1,spinning,tales,spun,a tale,2,1590321,1035742,8646,3.23,3.9,0,8,8.31,0.8769373297691345,0.7802972197532654,0.7409137487411499,1.48,1.0,178.08,277.38,316.31,343.61
93,spin,thread,productive,spin thread,y,1,1,spinning,thread,spun,a thread,3,3389594,1035742,3016,4.83,3.9,5,8,6.18,0.8833163976669312,0.7511765956878662,0.7726767063140869,0.54,1.0,107.65,151.12,168.96,178.79
94,spout,nonsense,collocation,spout nonsense,y,0,1,spouting,nonsense,spouted,a nonsense,4,414316,91252,4067,2.38,4.67,0,2,9.55,0.8298572301864624,0.7937825918197632,0.7168580293655396,1.37,1.0,61.401,95.296,109.2,118.44
94,spout,water,productive,spout water,y,1,1,spouting,water,spouted,a water,5,20605799,91252,1091,5.0,4.67,4,2,3.14,0.8321419358253479,0.5722761154174805,0.6147890090942383,0.0,1.0,232.15,324.2,362.8,390.59
95,spread,terror,collocation,spread terror,y,0,1,spreading,terror,spread,a terror,7,1045144,3237963,3270,2.43,3.68,0,10,6.0,0.8780682682991028,0.7798117399215698,0.8101349472999573,1.48,1.0,89.753,127.38,141.12,150.15
95,spread,butter,productive,spread butter,y,1,1,spreading,butter,spread,a butter,8,980399,3237963,3074,4.9,3.68,1,10,5.83,0.8757482171058655,0.709454357624054,0.7458701729774475,0.55,1.0,82.231,121.23,150.89,172.76
96,steer,conversation,collocation,steer conversation,y,0,1,steering,conversations,steered,a conversation,9,4013197,683496,4677,3.28,4.19,0,3,6.46,0.8719022274017334,0.6490688323974609,0.6120181679725647,1.41,1.0,166.81,255.38,299.17,324.56
96,steer,boat,productive,steer boat,y,1,1,steering,boats,steered,a boat,10,3630979,683496,4211,4.93,4.19,1,3,6.66,0.8699477910995483,0.763018786907196,0.7314944267272949,0.37,1.0,139.06,231.66,280.03,308.1
97,stifle,dissent,collocation,stifle dissent,y,0,1,stifling,dissent,stifled,a dissent,1,241251,178796,2974,2.17,2.59,3,4,9.06,0.8457418084144592,0.655478835105896,0.6795055270195007,1.13,0.89,65.304,91.841,101.36,107.56
97,stifle,yawn,productive,stifle yawn,y,1,1,stifling,yawns,stifled,a yawn,2,44113,178796,2819,4.46,2.59,2,4,9.5,0.7786876559257507,0.6958333253860474,0.6946372985839844,0.84,1.0,18.722,27.298,31.233,33.744
98,stimulate,discussion,collocation,stimulate discussion,y,0,1,stimulating,discussions,stimulated,a discussion,3,7048109,856020,12744,3.07,3.22,0,7,7.36,0.8676740527153015,0.7450736165046692,0.7443604469299316,1.21,1.0,180.21,295.44,351.36,377.72
98,stimulate,brain,productive,stimulate brain,y,1,1,stimulating,brain,stimulated,a brain,4,4011813,856020,6316,4.69,3.22,2,7,7.3,0.8546188473701477,0.7370749115943909,0.7407470941543579,0.74,0.96,120.31,177.7,212.37,233.34
99,stir,controversy,collocation,stir controversy,y,0,1,stirring,controversies,stirred,a controversy,5,979855,885350,6065,2.29,3.76,0,8,8.59,0.8648634552955627,0.7520244121551514,0.6930348873138428,1.33,1.0,146.19,222.23,259.61,281.54
99,stir,mixture,productive,stir mixture,y,1,1,stirring,mixtures,stirred,a mixture,6,1317276,885350,9045,3.79,3.76,0,8,8.65,0.8693267703056335,0.7630581855773926,0.7555011510848999,1.15,1.0,173.87,303.73,353.4,380.67
100,strain,relation,collocation,strain relation,y,0,1,straining,relations,strained,a relation,8,4213184,277318,5144,2.11,3.0,0,9,7.47,0.8895125389099121,0.7139019966125488,0.7215602397918701,1.23,1.0,234.35,333.67,369.06,392.03
100,strain,muscle,productive,strain muscle,y,1,1,straining,muscles,strained,a muscle,9,2379132,277318,3831,4.5,3.0,1,9,7.5,0.8803375959396362,0.8371037244796753,0.7983694672584534,1.07,1.0,91.117,146.9,175.42,195.22
101,strike,pose,collocation,strike pose,y,0,1,striking,poses,struck,a pose,10,339019,2793007,13132,3.33,4.07,6,21,8.6,0.8937872648239136,0.7607291340827942,0.7163727283477783,1.39,1.0,12.162,16.888,18.741,19.754
101,strike,target,productive,strike target,y,1,1,striking,targets,struck,a target,1,5192341,2793007,9230,4.11,4.07,1,21,6.88,0.8917428851127625,0.6899957656860352,0.7395792007446289,1.13,1.0,165.15,233.33,258.47,270.78
118,string,sentence,collocation,string sentence,y,0,1,stringing,sentences,strung,a sentence,2,2687009,201006,2391,3.57,4.76,1,7,6.16,0.8655645847320557,0.640999436378479,0.7128702402114868,1.32,1.0,120.5,167.75,185.71,195.53
118,string,bead,productive,string bead,y,1,1,stringing,beads,strung,a bead,3,496496,201006,2491,4.9,4.76,3,7,8.52,0.8547117114067078,0.8419107794761658,0.7968401312828064,0.31,1.0,78.865,116.76,135.58,146.95
102,swallow,pride,collocation,swallow pride,y,0,1,swallowing,pride,swallowed,a pride,4,1062120,603437,8341,1.66,3.89,1,8,8.82,0.8785714507102966,0.7548012733459473,0.7445476055145264,1.01,1.0,105.29,146.53,161.59,171.11
102,swallow,pill,productive,swallow pill,y,1,1,swallowing,pills,swallowed,a pill,5,759223,603437,8107,4.72,3.89,0,8,9.06,0.8706486225128174,0.845584511756897,0.7934138178825378,0.8,1.0,68.926,102.91,117.35,126.85
103,sway,voter,collocation,sway voter,y,0,1,swaying,voters,swayed,a voter,6,2168698,267653,2692,3.93,3.6,0,4,7.37,0.847534716129303,0.7860472798347473,0.7449616193771362,1.3,1.0,113.27,163.03,184.22,197.0
103,sway,hip,productive,sway hip,y,1,1,swaying,hips,swayed,a hip,7,799168,267653,2465,4.21,3.6,0,4,8.23,0.8424645066261292,0.7422579526901245,0.7344684600830078,1.2,1.0,90.411,129.73,157.16,172.63
115,sweeten,deal,collocation,sweeten deal,y,0,1,sweetening,deals,sweetened,a deal,9,7043343,86767,8402,3.1,3.62,13,2,6.46,0.8054201602935791,0.5755633115768433,0.5638331174850464,1.18,1.0,162.55,254.97,291.8,311.14
115,sweeten,milk,productive,sweeten milk,y,1,1,sweetening,milk,sweetened,a milk,10,2131367,86767,2791,4.92,3.62,3,2,7.48,0.8414332866668701,0.8231655359268188,0.7873506546020508,0.39,1.0,85.509,138.38,171.6,192.28
104,swing,election,collocation,swing election,y,0,1,swinging,elections,swung,an election,1,6238872,740820,2890,3.17,4.54,0,13,6.04,0.8705421686172485,0.6215229034423828,0.6783350110054016,1.42,1.0,169.32,244.01,275.67,294.49
104,swing,axe,productive,swing axe,y,1,1,swinging,axes,swung,an axe,2,382410,740820,3085,5.0,4.54,2,13,8.05,0.8653646111488342,0.8635702729225159,0.8372895121574402,0.0,1.0,40.835,66.546,80.921,90.326
105,tackle,crisis,collocation,tackle crisis,y,0,1,tackling,crises,tackled,a crisis,3,3998188,1330126,14277,2.33,4.28,0,3,8.09,0.8485616445541382,0.8218870162963867,0.801006555557251,1.45,1.0,139.99,213.55,249.27,271.87
105,tackle,player,productive,tackle player,y,1,1,tackling,players,tackled,a player,4,14197491,1330126,1690,4.15,4.28,0,3,3.51,0.840192437171936,0.574445366859436,0.6106618046760559,1.08,1.0,226.69,338.56,382.77,407.1
106,taste,success,collocation,taste success,y,0,1,tasting,success,tasted,a success,5,7098225,1517063,4956,2.21,4.07,0,6,5.9,0.8550188541412354,0.601734459400177,0.665382444858551,1.37,1.0,194.18,295.66,331.23,349.41
106,taste,beer,productive,taste beer,y,1,1,tasting,beer,tasted,a beer,6,2110752,1517063,4437,4.88,4.07,0,6,7.03,0.8571410179138184,0.83537757396698,0.8267773389816284,0.33,1.0,74.267,130.5,169.11,196.91
107,throw,party,collocation,throw party,y,0,1,throwing,parties,threw,a party,7,12859662,5440043,58685,3.89,4.04,1,15,8.54,0.8796137571334839,0.7530399560928345,0.7319458723068237,1.34,1.0,161.4,244.31,287.75,312.33
107,throw,rock,productive,throw rock,y,1,1,throwing,rocks,threw,a rock,8,4393944,5440043,33109,4.91,4.04,2,15,8.39,0.8783896565437317,0.8134645819664001,0.8069981336593628,0.29,1.0,225.91,320.78,360.6,382.06
108,twist,word,collocation,twist word,y,0,1,twisting,words,twisted,a word,10,17306598,525898,6271,3.56,3.9,1,10,5.18,0.8814607262611389,0.6488770246505737,0.7160848379135132,1.63,1.0,247.83,371.55,418.36,446.17
108,twist,ankle,productive,twist ankle,y,1,1,twisting,ankles,twisted,an ankle,1,512653,525898,5585,4.81,3.9,0,10,9.05,0.8810736536979675,0.8278928399085999,0.7904281616210938,0.79,1.0,41.848,89.279,125.92,148.97
109,unearth,talent,collocation,unearth talent,y,0,1,unearthing,talent,unearthed,a talent,2,2686689,171091,1111,2.19,3.17,0,2,5.09,0.8299795389175415,0.5700351595878601,0.6081185340881348,1.14,1.0,149.46,215.84,243.88,261.1
109,unearth,fossil,productive,unearth fossils,y,1,1,unearthing,fossils,unearthed,a fossils,3,292274,171091,748,4.9,3.17,0,2,7.14,0.8542999029159546,0.817986249923706,0.803802490234375,0.56,1.0,82.179,119.57,136.28,145.49
110,unleash,fury,collocation,unleash fury,y,0,1,unleashing,fury,unleashed,a fury,4,214649,430978,3432,2.89,3.55,0,3,8.5,0.8538044691085815,0.8064877986907959,0.7695769667625427,1.47,1.0,78.211,122.7,138.28,147.9
110,unleash,dog,productive,unleash dog,y,1,1,unleashing,dogs,unleashed,a dog,5,6162006,430978,2534,4.85,3.55,1,3,5.41,0.8678624629974365,0.5741004943847656,0.626743733882904,0.46,1.0,104.88,197.0,248.38,285.38
111,unlock,potential,collocation,unlock potential,y,0,1,unlocking,potential,unlocked,a potential,6,3336202,907324,27122,1.91,4.11,0,3,8.54,0.841495156288147,0.6927198171615601,0.6651813983917236,1.28,1.0,154.16,221.87,249.35,265.29
111,unlock,phone,productive,unlock phone,y,1,1,unlocking,phones,unlocked,a phone,7,8233008,907324,18357,4.86,4.11,1,3,8.28,0.8368089199066162,0.7346083521842957,0.7118119597434998,0.44,1.0,132.03,200.44,232.92,254.36
112,weave,story,collocation,weave story,y,0,1,weaving,stories,wove,a story,8,19239352,781401,15961,3.3,4.2,0,4,6.09,0.871631383895874,0.6556630730628967,0.6511611342430115,1.49,1.0,197.18,328.22,376.06,402.62
112,weave,basket,productive,weave basket,y,1,1,weaving,baskets,wove,a basket,9,811904,781401,7588,5.0,4.2,0,4,8.54,0.8921250700950623,0.8293242454528809,0.8097106218338013,0.0,1.0,92.968,137.82,159.48,172.87
